,Code,Course,Round1_x,Round2_x,Round1_y,Round2_y,Round1,Round2
1017,TR326,Geography/Modern Language,,,352.0,,,
1018,TR332,Geography/Sociology,,,498.0,496,,
1019,TR443,History/History of Art and Architecture,,,529.0,,,
1020,TR447,History/Modern Language,,,529.0,,,
1021,TR449,History/Philosophy,,,529.0,,,
1022,TR452,History/Sociology,,,529.0,,,
1023,TR454,History/Religion,,,529.0,,,
1024,TR455,History of Art and Architecture/Modern Language,,,334.0,,,
1025,TR479,History of Art and Architecture/Philosophy,,,499.0,,,
1026,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,337.0,,,
1027,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,335.0,,,
1028,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,,529.0,,,
1029,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,335.0,,,
1030,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,,
1031,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,342.0,,,
1032,TR597,Mathematics/Modern Language,,,566.0,,,
1033,TR598,Mathematics/Music,,,566.0,,,
1034,TR599,Mathematics/Philosophy,,,566.0,,,
1035,TR629,Music/Philosophy,,,499.0,,,
1036,TR635,Music/Drama Studies,,,473.0,,,
1037,TR636,Music/Modern Language,,,388.0,,,
1038,TR638,Music/Religion,,,388.0,,,
1039,TR639,Philosophy/Modern Language,,,499.0,,,
1040,TR662,Philosophy/Sociology,,,499.0,,,
1041,TR663,Religion/Classical Civilisation,,,342.0,,,
1042,TR664,Religion/English Literature,,,498.0,,,
1043,TR665,Religion/History of Art and Architecture,,,342.0,,,
1044,TR666,Religion/Modern Language,,,,,,
1045,TR667,French/Modern Language,,,403.0,,,
1046,TR668,German/Modern Language,,,389.0,,,
1047,TR669,Irish/Modern Language,,,368.0,,,
1048,TR670,Italian/Modern Language,,,381.0,,,
1049,TR671,Russian/Modern Language,,,332.0,,,
1050,TR672,Spanish/Modern Language,,,336.0,,,
1051,TR755,Sociology/Drama Studies,,,498.0,,,
1052,TR756,Sociology/Modern Language,,,498.0,495,,
1053,TU801,Biomedical Design,,,235.0,,235.0, 
1054,TU802,Electrical Services and Energy Management,,,317.0,300,309.0, 
1055,TU803,Electronic Engineering,,,243.0,243,,
1056,TU804,Engineering (Common Entry with Award options),,,271.0,,270.0, 
1057,TU805,Engineering (General Entry),,,402.0,,466.0, 465
1058,TU806,Sustainable Energy Engineering,,,262.0,,,
1059,TU807,Computer Engineering in Mobile Systems,,,276.0,,274.0, 
